OrdStatus,ExecTransType,ClientOrderID,Fill ID,ID of Order Or Fill for Action,LotNumber,Symbol,SecurityType,Security Currency,Security Description,BuySellShortCover,OpenClose,IDSource,SecurityID,ISIN,CUSIP,SEDOL,Bloomberg,CINS,WhenIssued,IssueDate,Maturity Date,Coupon %,ExecutionInterestDays,AccruedInterest,FaceValue,RollableType,Repo Currency,Day Count Fraction / Repo Calendar,RepoLoanAmount,Trader,OrderQty,FillQty,CumQty,HairCut,Avg Price,FillPrice,TradeDate,TradeTime,OrigDate,Unused,SettlementDate,Executing User,Comment,Account,Fund,SubFund,AllocationCode,StrategyCode,Execution Broker,Clearing Agent,ContractSize,Commission,FX Rate,FWD FX points,Fee,CurrencyTraded,SettleCurrency,FX/BASE rate,BASE/FX rate,StrikePrice,PutOrCall,Derivative Expiry,SubStrategy,OrderGroup,RepoPenalty,CommissionTurn,AllocRule,PaymentFreq,RateSource,Spread,CurrentFace,CurrentPrincipalFactor,AccrualFactor,Tax Rate,Expenses,Fees,PostCommAndFeesOnInit,Implied Commission Flag,Transaction Type,Master Confrim Type,Matrix Term,EMInternalSeqNo.,ObjectivePrice,MarketPrice,Stop Price,NetConsdieration,Fixing Date,Delivery Instructions,Force Match ID,Force Match Type,Force Match Notes,Commission Rate for Allocation,Commission Amount for Fill,Expense Amount for Fill,Fee Amount for Fill,Standard Strategy,Strategy Link Name,Strategy Group,Fill FX Settle Amount,Reserved,Reserved.1,Deal Attributes,Finance Leg,Performance Leg,Attributes,Deal Symbol,Initial margin type ,Initial Margin Amount,Initial margin CCY ,Confirm Status,Counterparty,Trader Notes,"Convert Price
to Settle Ccy",Bond Coupon Type,Generic Fees Enabled,Generic Fees Listing,Order Level Attributes,Settling/Sub,Confirmation Time,Confirmation Means,Payment Date
N,2,20200710J1000001,20200710J1000001,,,,CFD,CNH,AECC AERO-ENGI-A,SS,,RIC,000738.ZK,,,,,,,,20210824,,,,,,,,,DFLT,-100,,,,2.3773,2.3773,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,0.2992,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-1230.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000002,20200710J1000002,,,,CFD,CNH,AECC AVIATION-A,SS,,RIC,600893.SH,,,,,,,,20210824,,,,,,,,,DFLT,-36500,,,,4.7688,4.7688,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,219.0908,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-605.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000003,20200710J1000003,,,,CFD,CNH,AIER EYE HSPTL-A,SS,,RIC,300015.ZK,,,,,,,,20210824,,,,,,,,,DFLT,-39000,,,,6.5558,6.5558,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,321.8196,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-400.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000004,20200710J1000004,,,,CFD,CNH,ALPHA GROUP-A,SS,,RIC,002292.ZK,,,,,,,,20210824,,,,,,,,,DFLT,-400,,,,1.4879,1.4879,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,0.7491,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-880.0000000000001,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000005,20200710J1000005,,,,CFD,CNH,ASYMCHEM LABOR-A,SS,,RIC,002821.ZK,,,,,,,,20210824,,,,,,,,,DFLT,-7700,,,,33.3892,33.3892,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,323.6078,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-685.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000006,20200710J1000006,,,,CFD,CNH,AVIC AIRCRAFT-A,SS,,RIC,000768.ZK,,,,,,,,20210824,,,,,,,,,DFLT,-28800,,,,3.434,3.434,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,124.4844,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-645.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000007,20200710J1000007,,,,CFD,CNH,AVIC CAPITAL C-A,SS,,RIC,600705.SH,,,,,,,,20210824,,,,,,,,,DFLT,-230200,,,,0.7322,0.7322,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,212.157,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-400.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000008,20200710J1000008,,,,CFD,CNH,AVIC HEAVY MAC-A,SS,,RIC,600765.SH,,,,,,,,20210824,,,,,,,,,DFLT,-31300,,,,1.7735,1.7735,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,69.8711,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,-459.99999999999994,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000009,20200710J1000009,,,,CFD,CNH,AVICOPTER PLC-A,S,,RIC,600038.SH,,,,,,,,20210824,,,,,,,,,DFLT,-22300,,,,8.0656,8.0656,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,226.3934,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,0.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,2,20200710J1000010,20200710J1000010,,,,CFD,CNH,AVICOPTER PLC-A,B,,RIC,600038.SH,,,,,,,,20210824,,,,,,,,,DFLT,22300,,,,7.8248,7.8248,20200710,,,,20200714,,,,MCO_MST,,,,JPM,JPM_SW,,45.1413,7.015800986982883,,,CNH,USD,,,,,,,,,,,4,,60.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
