Code,Short_Name,ID_ISIN
10,SHENZHEN ECOBE-A,000010 CH Equity
17,SHENZ CHINA BI-A,000017 CH Equity
408,ZANGGE HOLDING-A,000408 CH Equity
409,SHANGDONG GEO -A,000409 CH Equity
410,SHENYANG MACH-A,000410 CH Equity
422,HUBEI YIHUA CH-A,000422 CH Equity
504,NANHUA BIO-MED-A,000504 CH Equity
509,HUASU HOLDINGS-A,000509 CH Equity
536,CPT TECHNOLOGY-A,000536 CH Equity
571,SUNDIRO HOLDIN-A,000571 CH Equity
572,HAIMA AUTOMOBI-A,000572 CH Equity
585,NORTHEAST ELEC-A,000585 CH Equity
587,JINZHOU CIHANG-A,000587 CH Equity
595,BAOTA INDUSTRY-A,000595 CH Equity
611,INNER MONGOLIA-A,000611 CH Equity
663,FUJIAN YONGAN-A,000663 CH Equity
669,JINHONG HOLDIN-A,000669 CH Equity
670,INFOTMIC CO LT-A,000670 CH Equity
673,LEAD EASTERN I-A,000673 CH Equity
679,DALIAN FRIENDS-A,000679 CH Equity
687,HUAXUN FANGZHO-A,000687 CH Equity
707,HUBEI SHUANG S-A,000707 CH Equity
727,NANJING HUAD-A,000727 CH Equity
737,NAFINE CHEMICA-A,000737 CH Equity
752,TIBET GALAXY-A,000752 CH Equity
760,STEYR MOTORS  -A,000760 CH Equity
780,INNER MONGOLIA-A,000780 CH Equity
792,QINGHAI SALT-A,000792 CH Equity
803,SICHUAN JINYU-A,000803 CH Equity
806,GALAXY BIOMEDI-A,000806 CH Equity
816,JIANGSU NONGHU-A,000816 CH Equity
820,SHENWU ENERGY -A,000820 CH Equity
837,QINCHUAN MACHI-A,000837 CH Equity
868,ANHUI ANKAI AU-A,000868 CH Equity
890,JIANGSU FASTEN-A,000890 CH Equity
911,NANNING SUGAR -A,000911 CH Equity
927,TIANJIN FAW XI-A,000927 CH Equity
939,KAIDI ECOLOGIC-A,000939 CH Equity
953,GUANGXI HECHI-A,000953 CH Equity
971,GOSUN HOLDING -A,000971 CH Equity
972,CHALKIS HEALTH-A,000972 CH Equity
980,ANHUI AUTOMOBI-A,000980 CH Equity
981,YINYI CO LTD-A,000981 CH Equity
982,NINGXIA ZHONGY-A,000982 CH Equity
995,GANSU HUANGTAI-A,000995 CH Equity
2005,ELEC-TECH INTE-A,002005 CH Equity
2021,ZOJE RESOURCES-A,002021 CH Equity
2052,SHENZHEN COSHI-A,002052 CH Equity
2071,GREAT WALL MOV-A,002071 CH Equity
2072,KAIRUIDE HOLDI-A,002072 CH Equity
2076,CNLIGHT CO LTD-A,002076 CH Equity
2077,JIANGSU DAGANG-A,002077 CH Equity
2086,ORIENTAL OCEAN-A,002086 CH Equity
2089,SUZHOU NEW SEA-A,002089 CH Equity
2102,GUANGFU HOLDIN-A,002102 CH Equity
2113,HUNAN TIANRUN-A,002113 CH Equity
2121,SHENZHEN CLOU-A,002121 CH Equity
2122,TIANMA BEARING-A,002122 CH Equity
2147,NEOGLORY PROSP-A,002147 CH Equity
2175,ORIENTAL TIMES-A,002175 CH Equity
2176,JIANGXI SPECIA-A,002176 CH Equity
2188,BUS ONLINE CO LT,002188 CH Equity
2192,YOUNGY CO LTD-A,002192 CH Equity
2200,YUNNAN YUNTOU-A,002200 CH Equity
2207,XINJIANG ZHUND-A,002207 CH Equity
2210,SHENZHEN FEIMA-A,002210 CH Equity
2219,HENGKANG MEDIC-A,002219 CH Equity
2220,DALIAN TIANBAO-A,002220 CH Equity
2247,ZHEJIANG JULI CU,002247 CH Equity
2255,SUZHOU HAILU -A,002255 CH Equity
2256,SHENZHEN SUNRI-A,002256 CH Equity
2259,SICHUAN SHENGD-A,002259 CH Equity
2260,DEA GENERAL AV-A,002260 CH Equity
2289,SUCCESS ELECTR-A,002289 CH Equity
2290,SUZHOU CHINA - A,002290 CH Equity
2306,CLOUD LIVE TEC-A,002306 CH Equity
2319,LETONG CHEMICA-A,002319 CH Equity
2323,SHANDONG YABO-A,002323 CH Equity
2333,SUZHOU LOPSKIN-A,002333 CH Equity
2336,RENRENLE COMM-A,002336 CH Equity
2354,DALIAN KEMIAN-A,002354 CH Equity
2356,SHENZHEN HEMEI-A,002356 CH Equity
2359,NORTHCOM GROUP-A,002359 CH Equity
2418,ZHE JIANG KANG-A,002418 CH Equity
2420,GUANGZHOU ECHO-A,002420 CH Equity
2426,SUZHOU VICTORY-A,002426 CH Equity
2427,ZHEJIANG UNIFA-A,002427 CH Equity
2445,ZHONGNAN RED C-A,002445 CH Equity
2447,DALIAN MORNIN-A,002447 CH Equity
2450,KANGDE XIN COM-A,002450 CH Equity
2496,JIANGSU HUIFENG,002496 CH Equity
2499,KELIN ENVIRONM-A,002499 CH Equity
2501,JILIN LIYUAN P-A,002501 CH Equity
2502,DINGLONG CULTU-A,002502 CH Equity
2513,JIANGSU LANFEN-A,002513 CH Equity
2529,HYM-A,002529 CH Equity
2535,LINZHOU HEAVY-A,002535 CH Equity
2569,ZHEJIANG BUSEN-A,002569 CH Equity
2575,GUANGDONG QUN-A,002575 CH Equity
2586,ZHEJIANG RECLA-A,002586 CH Equity
2604,SHANDONG LONGL-A,002604 CH Equity
2629,ZHEJIANG RENZH-A,002629 CH Equity
2650,IAJIA FOOD GRO-A,002650 CH Equity
2656,MODERN AVENUE -A,002656 CH Equity
2681,SHENZHEN FENDA-A,002681 CH Equity
2684,DYNAVOLT RENEW-A,002684 CH Equity
2692,YUANCHENG -A,002692 CH Equity
2700,XINJIANG HAOYU-A,002700 CH Equity
2711,EUROPOL INTELL-A,002711 CH Equity
2716,CHENZHOU CITY-A,002716 CH Equity
2719,MAIQUER GROUP -A,002719 CH Equity
2766,SHENZHEN SOLIN-A,002766 CH Equity
2872,TIANSHENG PHAR-A,002872 CH Equity
600069,HENAN YINGE-A,600069 CH Equity
600080,GINWA ENTERP-A,600080 CH Equity
600083,JIANGSU BOXIN-A,600083 CH Equity
600084,CITIC GUOAN WI-A,600084 CH Equity
600086,EASTERN GOLD J-A,600086 CH Equity
600091,BAOTOU TOMOR-A,600091 CH Equity
600112,GUIZHOU CHANZH-A,600112 CH Equity
600119,YUD YANGTZE-A,600119 CH Equity
600122,JIANGSU HONGTU-A,600122 CH Equity
600145,XINJIANG YILU -A,600145 CH Equity
600146,SHANGYING GLBL-A,600146 CH Equity
600149,LANGFANG DEVEL-A,600149 CH Equity
600175,MEIDU ENERGY-A,600175 CH Equity
600179,ANTONG HOLDING-A,600179 CH Equity
600193,SHANGHAI PROSO-A,600193 CH Equity
600209,LAWTON DEV-A,600209 CH Equity
600212,SHANDONG JIANG-A,600212 CH Equity
600215,CHANGCHUNJINGA-A,600215 CH Equity
600225,TIANJIN SONGJI-A,600225 CH Equity
600228,JIANGXI CHANG-A,600228 CH Equity
600234,GUANGHE LANDSC-A,600234 CH Equity
600238,HAINAN YEDAO C-A,600238 CH Equity
600241,LIAONING SHIDA-A,600241 CH Equity
600243,QINGHAI HUADIN-A,600243 CH Equity
600247,JILIN CHENG-A,600247 CH Equity
600255,KINGSWOOD ENTE-A,600255 CH Equity
600265,YUNNAN JINGGU -A,600265 CH Equity
600275,HUBEI WUCHANGY-A,600275 CH Equity
600280,NANJING CENTRA-A,600280 CH Equity
600289,BRIGHT OCEANS-A,600289 CH Equity
600290,HUAYI ELECTRIC-A,600290 CH Equity
600301,NANNING CHEMIC-A,600301 CH Equity
600306,SHENYANG COMME-A,600306 CH Equity
600311,GANSU RONGHUA-A,600311 CH Equity
600319,WEIFANG YAXING-A,600319 CH Equity
600354,GANSU DUNHUANG-A,600354 CH Equity
600358,CHINA UNITED T-A,600358 CH Equity
600385,SHANDONG JINTA-A,600385 CH Equity
600399,FUSHUN SPECIAL-A,600399 CH Equity
600408,SHANXI ANTAI -A,600408 CH Equity
600416,XIANGTAN ELEC-A,600416 CH Equity
600421,HUBEI YANGFAN -A,600421 CH Equity
600423,LIUZHOU CHEMIC-A,600423 CH Equity
600462,SHENZHEN GEOWA-A,600462 CH Equity
600470,ANHUI LIUGUO C-A,600470 CH Equity
600485,BEIJING XINWEI-A,600485 CH Equity
600518,KANGMEI PHARMA-A,600518 CH Equity
600530,0IAODA ONLLY-A,600530 CH Equity
600539,TAIYUAN LIONHE-A,600539 CH Equity
600555,HNA INNOVATION-A,600555 CH Equity
600568,ZHONGZHU HEAL-A,600568 CH Equity
600595,HENAN ZHONGFU-A,600595 CH Equity
600599,PANDA FINANCIA-A,600599 CH Equity
600608,SHANG BROAD-A,600608 CH Equity
