Fund Code,Financing Currency,Fund,Reporting Currency,Report Date,Fund SPN,Strategy,Swap Name,Swap Deal Reference,Client Trade Reference,Swap Trade ID,Underlier Type,Underlier Name,ISIN Code,CUSIP Code,Sedol Code,Bloomberg Code,RIC Code,Activity,Trade Type,Trade Activity Type,Trade Date,Effective Date,Termination Date,Long Short Indicator,Synthetic Buy / Sell,Initial Quantity,Underlying Currency,Initial FX Rate,Initial price,Trade Notional,Additional Spread,Long Financing Spread (%),Dividend Distribution %,USI Prefix,USI Value,UTI Prefix,UTI Value,Gross Notional,Gross Price,Gross Price Local,Commission Type,Commission Value,Commission Value in Reporting Currency
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260437,0,20130345_252913133,STK,AECC AERO-ENGINE CONTROL-A (C2),CNE000000RM5,Y6203U108,BD5CMK5,000738 C2,000738.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-100,CNY,0.1425354,2.3772913,-237.729126,-12.3,0,100,1030244641,PAA2XKZ1W7SY4,1030244641,PAA2XKZ1W7SY4,-238.0342,2.3803415,16.7,FLAT_AMOUNT,-0.29,-0.29
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262782,0,20130345_252913567,STK,AECC AVIATION POWER CO-A (C1),CNE000000JW1,Y9730A108,BP3R518,600893 C1,600893.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-36500,CNY,0.1425354,4.768807,-174061.4548,-6.05,0,100,1030244641,PAA2XKZ1W7830,1030244641,PAA2XKZ1W7830,-174285.1848,4.7749366,33.5,FLAT_AMOUNT,-213.98,-213.98
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262675,0,20130345_252912780,STK,AIER EYE HOSPITAL GROUP CO-A (C2),CNE100000GR6,Y0029J108,BD5CLQ4,300015 C2,300015.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-39000,CNY,0.1425354,6.5558427,-255677.8641,-4,0,100,1030244641,PAA2XKZ1WQMIF,1030244641,PAA2XKZ1WQMIF,-256006.4996,6.5642692,46.0536,FLAT_AMOUNT,-314.32,-314.32
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262771,0,20130345_252913352,STK,ALPHA GROUP-A (C2),CNE100000FT4,Y2927R109,BD5CNK2,002292 C2,002292.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-400,CNY,0.1425354,1.4879415,-595.1766,-8.8,0,100,1030244641,PAA2XKZ1WQMQ7,1030244641,PAA2XKZ1WQMQ7,-595.9406,1.4898515,10.4525,FLAT_AMOUNT,-0.73,-0.73
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262939,0,20130345_252916673,STK,ASYMCHEM LABORATORIES TIAN-A (CNY),CNE100002BZ6,Y0370S103,BD6V5C4,002821 C2,002821.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-7700,CNY,0.1425354,33.3891794,-257096.6815,-6.85,0,100,1030244641,PAA2XKZ1W74N3,1030244641,PAA2XKZ1W74N3,-257427.1402,33.4320961,234.5529,FLAT_AMOUNT,-316.06,-316.06
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260172,0,20130345_252915001,STK,AVIC AIRCRAFT CO LTD-A (C2),CNE000000RF9,Y9723E109,BD5CPB7,000768 C2,000768.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-28800,CNY,0.1425354,3.4339539,-98897.87318,-6.45,0,100,1030244641,PAA2XKZ1W74R3,1030244641,PAA2XKZ1W74R3,-99024.9892,3.4383677,24.1229,FLAT_AMOUNT,-121.58,-121.58
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262923,0,20130345_252916343,STK,AVIC CAPITAL CO LTD -A (C1),CNE000000KC1,Y07709101,BP3R4C2,600705 C1,600705.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-230200,CNY,0.1425354,0.7322325,-168559.9284,-4,0,100,1030244641,PAA2XKZ1WQN9Y,1030244641,PAA2XKZ1WQN9Y,-168776.5834,0.7331737,5.1438,FLAT_AMOUNT,-207.22,-207.22
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260278,0,20130345_252913944,STK,AVIC HEAVY MACHINERY CO LT-A (C1),CNE000000N22,Y0488B109,BP3R9Q1,600765 C1,600765.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-31300,CNY,0.1425354,1.773498,-55510.48615,-4.6,0,100,1030244641,PAA2XKZ1WQMP6,1030244641,PAA2XKZ1WQMP6,-55581.8367,1.7757775,12.4585,FLAT_AMOUNT,-68.24,-68.24
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262686,0,20130345_252912804,STK,AVICOPTER PLC-A (C1),CNE0000015V6,Y2981F108,BP3R6T3,600038 C1,600038.SH,UNWIND,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,L,S,-22300,CNY,0.1425354,8.0655616,-179862.0235,0,0,0,1030244641,PAA2XKZ1W7W4H,1030244641,PAA2XKZ1W7W4H,-180093.2082,8.0759286,56.6591,FLAT_AMOUNT,-221.11,-221.11
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262686,0,20130345_252913923,STK,AVICOPTER PLC-A (C1),CNE0000015V6,Y2981F108,BP3R6T3,600038 C1,600038.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,L,B,22300,CNY,0.1425354,7.8247768,174492.5224,0,0.6,90,1030244641,PAA2XKZ1W7W4H,1030244641,PAA2XKZ1W7W4H,174443.0358,7.8225577,54.8815,FLAT_AMOUNT,214.18,214.18
