"Fund Code","Financing Currency","Fund","Reporting Currency","Report Date","Fund SPN","Strategy","Swap Name","Swap Deal Reference","Client Trade Reference","Swap Trade ID","Underlier Type","Underlier Name","ISIN Code","CUSIP Code","Sedol Code","Bloomberg Code","RIC Code","Activity","Trade Type","Trade Activity Type","Trade Date","Effective Date","Termination Date","Long Short Indicator","Synthetic Buy / Sell","Initial Quantity","Underlying Currency","Initial FX Rate","Initial price","Trade Notional","Additional Spread","Long Financing Spread (%)","Dividend Distribution %","USI Prefix","USI Value","UTI Prefix","UTI Value","Gross Notional","Gross Price","Gross Price Local","Commission Type","Commission Value","Commission Value in Reporting Currency","Market Charge"
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3268950,0,20130345_260066044,STK,ADAMA LTD-A (C2),CNE0000004V0,Y3746E105,BYVNZC2,000553 C2,000553.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,B,18300.0,CNY,0.1442169,1.3463823,24638.796456,0.0,0.0,0.0,1030244641,PAA2XKZ24K9XC,1030244641,PAA2XKZ24K9XC,24632.4229,1.346034,9.3334,FLAT_AMOUNT,25.62,25.62,18.57
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3273730,0,20130345_260063456,STK,ADDSINO CO LTD -A (C2),CNE000000DM5,Y26525108,BD5CKF6,000547 C2,000547.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,L,B,3300.0,CNY,0.1442169,2.8793141,9501.73653,0.0,0.6,90.0,1030244641,PAA2XKZ1X78NV,1030244641,PAA2XKZ1X78NV,9499.2789,2.8785694,19.96,FLAT_AMOUNT,9.88,9.88,7.16
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3273730,0,20130345_260063702,STK,ADDSINO CO LTD -A (C2),CNE000000DM5,Y26525108,BD5CKF6,000547 C2,000547.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,L,S,-293500.0,CNY,0.1442169,2.9312208,-860313.3048,0.0,0.0,0.0,1030244641,PAA2XKZ1X78NV,1030244641,PAA2XKZ1X78NV,-861397.5261,2.9349149,20.3507,FLAT_AMOUNT,-895.94,-895.94,-6622.19
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260437,0,20130345_260063871,STK,AECC AERO-ENGINE CONTROL-A (C2),CNE000000RM5,Y6203U108,BD5CMK5,000738 C2,000738.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,L,S,-402100.0,CNY,0.1442169,3.4100521,-1371181.933326,0.0,0.0,0.0,1030244641,PAA2XKZ221I6N,1030244641,PAA2XKZ221I6N,-1372909.9661,3.4143496,23.6751,FLAT_AMOUNT,-1427.96,-1427.96,-10554.56
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260437,0,20130345_260063891,STK,AECC AERO-ENGINE CONTROL-A (C2),CNE000000RM5,Y6203U108,BD5CMK5,000738 C2,000738.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,L,B,187400.0,CNY,0.1442169,3.4504886,646621.565514,0.0,0.6,90.0,1030244641,PAA2XKZ221I6N,1030244641,PAA2XKZ221I6N,646454.326,3.4495962,23.9195,FLAT_AMOUNT,672.38,672.38,487.25
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3342400,0,20130245_260070920,STK,ANHUI HUILONG AGRICULTURAL-A,CNE1000010P7,Y013AJ103,B45J2L4,002556 CS,002556.SZ,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,B,162300.0,CNY,0.1441545,1.3294917,215776.504533,0.0,0.6,90.0,1030244641,PAA2XKZ25C82V,1030244641,PAA2XKZ25C82V,215692.6522,1.3289751,9.2191,FLAT_AMOUNT,448.88,448.88,132.72
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3268914,0,20130345_260063758,STK,ANHUI ZHONGDING SEALING PA-A (C2),CNE000000XP6,Y01379109,BD5CL31,000887 C2,000887.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,L,S,-22500.0,CNY,0.1442169,1.6470446,-37058.5026,0.0,0.0,0.0,1030244641,PAA2XKZ23TGCW,1030244641,PAA2XKZ23TGCW,-37105.2063,1.6491203,11.435,FLAT_AMOUNT,-38.59,-38.59,-285.26
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3262923,0,20130345_260065722,STK,AVIC CAPITAL CO LTD -A (C1),CNE000000KC1,Y07709101,BP3R4C2,600705 C1,600705.SH,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-27,S,B,16800.0,CNY,0.1442169,0.7548246,12681.053784,0.0,0.0,0.0,1030244641,PAA2XKZ2322Y5,1030244641,PAA2XKZ2322Y5,12677.7732,0.7546294,5.2326,FLAT_AMOUNT,13.19,13.19,9.56
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260331,0,20130345_260065858,STK,AVIC ELECTROMECHANICAL SY-A (C2),CNE000001JY5,Y37456111,BD5CJ82,002013 C2,002013.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,L,B,267656.0,CNY,0.1442169,1.6831148,450495.7749088,0.0,0.6,90.0,1030244641,PAA2XKZ220UAN,1030244641,PAA2XKZ220UAN,450379.2776,1.6826796,11.6677,FLAT_AMOUNT,468.44,468.44,339.47
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260227,0,20130345_260065823,STK,AVIC JONHON OPTRONIC TECH-A (C2),CNE1000007T5,Y14228103,BD5CHR7,002179 C2,002179.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-900.0,CNY,0.1442169,6.6976444,-6027.879924,-6.15,0.0,100.0,1030244641,PAA2XKZ1X78OP,1030244641,PAA2XKZ1X78OP,-6035.4774,6.706086,46.5,FLAT_AMOUNT,-6.28,-6.28,-46.4
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260494,0,20130345_260065608,STK,BANK OF CHANGSHA CO LTD-A (C1),CNE100003F50,Y0R95D101,BK94875,601577 C1,601577.SH,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-200.0,CNY,0.1442169,1.3323262,-266.465244,-8.4,0.0,100.0,1030244641,PAA2XKZ1W7WD0,1030244641,PAA2XKZ1W7WD0,-266.8013,1.3340064,9.25,FLAT_AMOUNT,-0.28,-0.28,-2.05
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3271159,0,20130345_260064926,STK,BANK OF HANGZHOU CO LTD-A (C1),CNE100002GQ4,Y0R98A104,BYW5MZ9,600926 C1,600926.SH,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-27,S,S,-1000.0,CNY,0.1442169,1.7758119,-1775.81194,-6.75,0.0,100.0,1030244641,PAA2XKZ25A4XE,1030244641,PAA2XKZ25A4XE,-1778.0502,1.7780502,12.329,FLAT_AMOUNT,-1.85,-1.85,-13.67
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3270806,0,20130345_260065378,STK,BANK OF JIANGSU CO LTD-A (C1),CNE100002G76,Y0698M101,BYW5MY8,600919 C1,600919.SH,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-1186926.0,CNY,0.1442169,0.9555019,-1134110.0125516,-3.55,0.0,100.0,1030244641,PAA2XKZ1X6KLS,1030244641,PAA2XKZ1X6KLS,-1135539.3326,0.9567061,6.6338,FLAT_AMOUNT,-1181.07,-1181.07,-8729.72
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3270806,0,20130345_260065402,STK,BANK OF JIANGSU CO LTD-A (C1),CNE100002G76,Y0698M101,BYW5MY8,600919 C1,600919.SH,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,B,383800.0,CNY,0.1442169,0.9467691,363369.984418,0.0,0.0,0.0,1030244641,PAA2XKZ1X6KLS,1030244641,PAA2XKZ1X6KLS,363276.0532,0.9465244,6.5632,FLAT_AMOUNT,377.84,377.84,273.81
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3265189,0,20130345_260064915,STK,BANK OF NINGBO CO LTD -A (C2),CNE1000005P7,Y0698G104,BD5CP06,002142 C2,002142.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-312800.0,CNY,0.1442169,5.0345118,-1574795.300424,-4.15,0.0,100.0,1030244641,PAA2XKZ1X42QN,1030244641,PAA2XKZ1X42QN,-1576779.9601,5.0408567,34.9533,FLAT_AMOUNT,-1640.01,-1640.01,-12121.86
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260196,0,20130345_260064991,STK,BANK OF SHANGHAI CO LTD-A (C1),CNE100002FM5,Y0R98R107,BD8P9J9,601229 C1,601229.SH,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-666600.0,CNY,0.1442169,1.2545049,-836252.96634,-5.75,0.0,100.0,1030244641,PAA2XKZ1W7W61,1030244641,PAA2XKZ1W7W61,-837306.8943,1.256086,8.7097,FLAT_AMOUNT,-870.88,-870.88,-6437.0
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3265221,0,20130345_260064963,STK,BANK OF XI'AN CO LTD-A (C1),CNE100003JB8,Y0R9AW103,BK4XYL3,600928 C1,600928.SH,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-100.0,CNY,0.1442169,0.8296366,-82.963657,-8.25,0.0,100.0,1030244641,PAA2XKZ1X3HR9,1030244641,PAA2XKZ1X3HR9,-83.0689,0.8306894,5.76,FLAT_AMOUNT,-0.09,-0.09,-0.64
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3265221,0,20130345_260064984,STK,BANK OF XI'AN CO LTD-A (C1),CNE100003JB8,Y0R9AW103,BK4XYL3,600928 C1,600928.SH,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,B,213900.0,CNY,0.1442169,0.8673574,185527.741443,0.0,0.0,0.0,1030244641,PAA2XKZ1X3HR9,1030244641,PAA2XKZ1X3HR9,185479.7423,0.867133,6.0127,FLAT_AMOUNT,192.92,192.92,139.79
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3334417,0,20130245_260070682,STK,BEIJING CUIWEI TOWER CO LT-A,CNE100001FT2,Y0R7E8106,B77B4H9,603123 CG,603123.SS,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,S,-49700.0,CNY,0.1441545,1.5375908,-76418.260275,0.0,0.0,0.0,1030244641,PAA2XKZ23QDE3,1030244641,PAA2XKZ23QDE3,-76524.5308,1.539729,10.6811,FLAT_AMOUNT,-159.26,-159.26,-577.94
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3310797,0,20130245_260070812,STK,BEIJING EMERGING EASTERN AVI,CNE100003GJ7,Y077AM101,BGB5W32,002933 CS,002933.SZ,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,B,5000.0,CNY,0.1441545,6.2094764,31047.38215,0.0,0.6,90.0,1030244641,PAA2XKZ23RFVQ,1030244641,PAA2XKZ23RFVQ,31035.3179,6.2070636,43.0584,FLAT_AMOUNT,64.59,64.59,19.1
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3310797,0,20130245_260071069,STK,BEIJING EMERGING EASTERN AVI,CNE100003GJ7,Y077AM101,BGB5W32,002933 CS,002933.SZ,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,S,-2600.0,CNY,0.1441545,6.3210355,-16434.692196,0.0,0.0,0.0,1030244641,PAA2XKZ23RFVQ,1030244641,PAA2XKZ23RFVQ,-16457.5465,6.3298256,43.91,FLAT_AMOUNT,-34.25,-34.25,-124.29
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3332461,0,20130245_260070759,STK,BEIJING HENGTONG INNOVATI-A,CNE100001XF4,Y0776X102,BW9LF46,300374 CS,300374.SZ,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,S,-26400.0,CNY,0.1441545,2.6301178,-69435.109128,0.0,0.0,0.0,1030244641,PAA2XKZ23Q3AY,1030244641,PAA2XKZ23Q3AY,-69531.6708,2.6337754,18.2705,FLAT_AMOUNT,-144.7,-144.7,-525.13
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3332461,0,20130245_260071482,STK,BEIJING HENGTONG INNOVATI-A,CNE100001XF4,Y0776X102,BW9LF46,300374 CS,300374.SZ,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,B,10400.0,CNY,0.1441545,2.6707796,27776.107736,0.0,0.6,90.0,1030244641,PAA2XKZ23Q3AY,1030244641,PAA2XKZ23Q3AY,27765.3164,2.669742,18.52,FLAT_AMOUNT,57.78,57.78,17.08
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3342393,0,20130245_260070888,STK,BEIJING JIAXUN FEIHONG ELE-A,CNE1000012N8,Y0R71U101,B53X7V0,300213 CS,300213.SZ,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,B,98700.0,CNY,0.1441545,1.2436431,122747.571009,0.0,0.6,90.0,1030244641,PAA2XKZ25C836,1030244641,PAA2XKZ25C836,122699.8792,1.2431599,8.6238,FLAT_AMOUNT,255.35,255.35,75.5
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260347,0,20130345_260065706,STK,BEIJING ORIENTAL YUHONG-A (C2),CNE100000CS3,Y07729109,BD5CFP1,002271 C2,002271.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,S,-1700.0,CNY,0.1442169,7.6290927,-12969.457641,-3.75,0.0,100.0,1030244641,PAA2XKZ25C853,1030244641,PAA2XKZ25C853,-12985.8033,7.6387078,52.9668,FLAT_AMOUNT,-13.51,-13.51,-99.83
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3265229,0,20130345_260065713,STK,BEIJING ORIGINWATER TECHNO-A (C2),CNE100000N95,Y0772Q101,BD5CNZ7,300070 C2,300070.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,S,-3000.0,CNY,0.1442169,1.3395284,-4018.58523,-13.35,0.0,100.0,1030244641,PAA2XKZ23PC81,1030244641,PAA2XKZ23PC81,-4023.6516,1.3412172,9.3,FLAT_AMOUNT,-4.19,-4.19,-30.94
