Trading Name,Client Account Name,Client Account Number,Swap Ref,Issue Type ,Stock Description,Ric,Sedol,Open/Unwind,Buy/Sell,Listing Ccy,Swap Ccy,Trade Date,Settlement Date,Stock Quantity,Price (Gross) Listing Ccy,Price (Gross) Swap Ccy,FX Rate,Commission Charge,Commission Charge Basis,Market Equivalent Charges,Market Equivalent Charges Basis,Price (Net) Listing Ccy,Price (Net) Swap Ccy,Net Notional in Listing Ccy,Net Notional in Swap Ccy,Lead Spread,Swap Shell Financing Basis,Swap Shell Financing Basis Period,Swap Shell Financing Basis CCY,Swap Shell Maturtiy Date,Give In,Comment
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV2,STOCK,NORTHEAST PHARM,000597.SZ,6620435,Unwind,Sell,CNY,USD,7/13/2020,7/15/2020,3,5.62,0.8029,6.9995,3,BPS,10.89,BPS,5.6122,0.8018,16.84,2.41,0,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: ADVANCED,000969.ZK,BD5C852,Open,Buy,CNY,USD,7/13/2020,7/15/2020,145200,7.4331,1.0622,6.9981,2,BPS,1.09,BPS,7.4354,1.0625,"1,079,620.08","154,275.00",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: AEROSPACE H TECH,000901.ZK,BD5CDM4,Open,Buy,CNY,USD,7/13/2020,7/15/2020,183000,11.0832,1.5837,6.9981,2,BPS,1.09,BPS,11.0866,1.5842,"2,028,847.80","289,908.60",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: ALPHA GROUP,002292.ZK,BD5CNK2,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1124,10.028312,1.433005,6.9981,2,BPS,1.09,BPS,10.031408,1.433447,"11,275.30","1,611.19",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: ANHUI WATER,600502.SH,BP3RK02,Open,Buy,CNY,USD,7/13/2020,7/15/2020,109000,4.9224635,0.7034,6.9981,2,BPS,1.09,BPS,4.9239831,0.7036171,"536,714.16","76,694.26",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: AVIC AIRCRAFT,000768.ZK,BD5CPB7,Open,Buy,CNY,USD,7/13/2020,7/15/2020,8400,22.6971,3.2433,6.9981,2,BPS,1.09,BPS,22.7041,3.2443,"190,714.44","27,252.12",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: AVIC HELICOPTER CO LTD,600038.SH,BP3R6T3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,51451,50.528381,7.2203,6.9981,2,BPS,1.09,BPS,50.543979,7.222529,"2,600,538.26","371,606.34",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BANK OF COMM,601328.SH,BP3R2G2,Open,Buy,CNY,USD,7/13/2020,7/15/2020,50,5.410231,0.7731,6.9981,2,BPS,1.09,BPS,5.411901,0.773339,270.6,38.67,65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BAO LONG VEHICLE,600988.SH,BZ0D1S8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,3000,13.13,1.8762,6.9981,2,BPS,1.09,BPS,13.1341,1.8768,"39,402.30","5,630.40",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BAODING TECH,002552.ZK,BMTCVN0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,3000,17.272,2.4681,6.9981,2,BPS,1.09,BPS,17.2773,2.4689,"51,831.90","7,406.70",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BAOSHENG SCIENCE,600973.SH,BS7K3R6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,3400,4.39,0.6273,6.9981,2,BPS,1.09,BPS,4.3914,0.6275,"14,930.76","2,133.50",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BAUING DECO,002047.ZK,BD5CBH5,Open,Buy,CNY,USD,7/13/2020,7/15/2020,301800,5.8028,0.8292,6.9981,2,BPS,1.09,BPS,5.8046,0.8295,"1,751,828.28","250,343.10",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BEIJING TONGTECH,300379.ZK,BD5LVZ0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,134362,52.1658,7.4543,6.9981,2,BPS,1.09,BPS,52.1819,7.4566,"7,011,264.45","1,001,883.69",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BIO-CHEM,603360.SH,BKM3FT0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,8000,23.5113,3.3597,6.9981,2,BPS,1.09,BPS,23.5186,3.3607,"188,148.80","26,885.60",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BJ UNISTRONG,002383.ZK,BD5LSC6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,14800,11.18,1.5976,6.9981,2,BPS,1.09,BPS,11.1835,1.5981,"165,515.80","23,651.88",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BJ VRV SOFTWARE,300352.ZK,BD5C8P2,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1381315,8.3808,1.1976,6.9981,2,BPS,1.09,BPS,8.3834,1.198,"11,580,116.17","1,654,815.37",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BLUEDON INFO SEC,300297.ZK,BD5M1M0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,229900,4.7371,0.6769,6.9981,2,BPS,1.09,BPS,4.7386,0.6771,"1,089,404.14","155,665.29",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BOE TECHNOLOGY,000725.ZK,BD5CPL7,Open,Buy,CNY,USD,7/13/2020,7/15/2020,10538100,5.2009,0.7432,6.9981,2,BPS,1.09,BPS,5.2025,0.7434,"54,824,465.25","7,834,023.54",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BROAD-OCEAN,002249.ZK,BD5CH44,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1821100,4.2686,0.61,6.9981,2,BPS,1.09,BPS,4.2699,0.6102,"7,775,914.89","1,111,235.22",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: BY-HEALTH BIO,300146.ZK,BD5CKV2,Open,Buy,CNY,USD,7/13/2020,7/15/2020,99397,21.59403724,3.08570001,6.9981,2,BPS,1.09,BPS,21.60070332,3.08665257,"2,147,045.11","306,804.01",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CGN NUCLEAR TECHNOLOGY DEVELOPMENT C,000881.ZK,BD73KV3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,178700,10.1171532,1.4457,6.9981,2,BPS,1.09,BPS,10.1202764,1.4461463,"1,808,493.39","258,426.34",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CGN NUCLEAR TECHNOLOGY DEVELOPMENT C,000881.ZK,BD73KV3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,649000,10.1332,1.448,6.9981,2,BPS,1.09,BPS,10.1363,1.4484,"6,578,458.70","940,011.60",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHANT GROUP,002616.ZK,BFCCQF5,Open,Buy,CNY,USD,7/13/2020,7/15/2020,9800,11.57,1.6533,6.9981,2,BPS,1.09,BPS,11.5736,1.6538,"113,421.28","16,207.24",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHINA EAST AIR,600115.SH,BP3R5X0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,948100,4.6558,0.6653,6.9981,2,BPS,1.09,BPS,4.6572,0.6655,"4,415,491.32","630,960.55",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHINA GALAXY SECURITIES CO-A,601881.SH,BYWPH65,Open,Buy,CNY,USD,7/13/2020,7/15/2020,42554,14.97453438,2.1398,6.9981,2,BPS,1.09,BPS,14.97915702,2.14046056,"637,423.05","91,085.16",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHINA MEDIA GROUP,000793.ZK,BD5CLX1,Open,Buy,CNY,USD,7/13/2020,7/15/2020,3002500,4.605,0.658,6.9981,2,BPS,1.09,BPS,4.6064,0.6582,"13,830,716.00","1,976,245.50",65,LIBOR,1m,USD,3/10/2022,No,
